Attr1;Attr2;Attr3;Attr4;Attr5;Attr6;Attr7;Attr8;Attr9;Attr10;Attr11;Attr12;Attr13;Attr14;Attr15;Attr16;Attr17;Attr18;Attr19;Attr20;Attr22;Attr23;Attr24;Attr25;Attr26;Attr28;Attr30;Attr31;Attr32;Attr33;Attr34;Attr35;Attr36;Attr38;Attr39;Attr40;Attr41;Attr42;Attr43;Attr44;Attr45;Attr46;Attr47;Attr48;Attr49;Attr50;Attr51;Attr52;Attr53;Attr54;Attr56;Attr57;Attr58;Attr59;Attr60;Attr61;Attr62;Attr63;Attr64;Class;Sample
0,250675;0,28578;0,59661;3,8924;78,596;0,4491;0,297982;2,3569;1,2893;0,67356;0,305492;2,001825;0,21163;0,297982;242,24;1,5068;3,4992;0,297982;0,202201;45,637;0,291465;0,16394;0,55873;0,67356;1,2261;3,0265;0,080238;0,20336;47,708;7,6508;1,5642;0,307578;2,0455;0,75306;0,21969;0,60044;0,020256;0,194324;121,81;76,17;1,3112;2,659;58,842;0,267378;0,16307;2,8095;0,20627;0,13071;3,4169;3,8202;0,22442;0,49524;0,77558;0,11804;7,9979;4,7919;37,001;9,8645;10,322;NB;U
-0,073659;0,78191;-0,047989;0,71749;-153,197;-0,12007;-0,070544;0,22473;1,0378;0,17572;-0,070544;-0,277309;-0,06363;-0,070544;-3415,915;-0,062917;1,2789;-0,070544;-0,112564;124,218;-0,005122;-0,102722;-0,11696;0,17572;-0,066901;-0,05465;1,000054;-0,090276;269,582;1,40345;-0,006551;-0,005122;0,545581;0,78776;-0,036963;0,21615;1,0729;-0,036963;224,29;66,029;-1,069795;0,36374;138,848;-0,026471;-0,145044;0,469432;0,16986;0,712566;0,20011;0,8971;0,036424;-0,329713;0,96358;1,411275;2,93837;5,5279;248,908;1,46642;0,809178;NB;U
0,14919;0,27452;0,37411;2,831;27,427;0,2918;0,18611;2,6427;1,1559;0,72548;0,18611;0,9109;0,14936;0,18611;392,4;0,93016;3,6427;0,18611;0,10886;55,741;0,19795;0,087264;0,36541;0,72548;0,79567;0,88741;0,12847;0,10886;50,421;7,2391;0,72107;0,19795;1,7106;0,79569;0,11579;0,29609;0,033779;0,11579;110,58;54,835;0,57142;1,5532;64,431;0,12871;0,075286;2,107;0,20431;0,13814;1,7209;1,8874;0,13487;0,20564;0,86513;0,096774;6,5481;6,6563;43,62;8,3676;4,0553;NB;U
0,250675;0,2693;0,657661;3,6814;74,385;0;0,297982;2,7133;3,069865;0,7307;0,305492;1,3329;0,097774;0,297982;271,74;1,3432;3,7133;0,297982;0,097024;4,92349;0,291465;0,078203;0,45911;0,63919;1,0846;7,244105;-0,056142;0,09775;29,154;12,52;9,47785;0,307578;3,264485;0,7307;0,088671;1,7865;0,026572;0,090565;50,345;48,183;4,818735;3,6;4,78758;0,267378;0,089815;3,6814;0,2693;0,079875;7,856195;8,00544;0,088671;0,39595;0,90391;0;74,136;7,5753;26,569;13,738;39,3715;NB;U
0,098588;0,12841;0,38435;3,9931;68,583;0,19088;0,098588;6,7873;2,0443;0,87159;0,10647;0,76774;0,10565;0,098588;217;1,682;7,7873;0,098588;0,048225;5,7397;0,10154;0,048225;0,33425;0,50524;1,682;0,78885;-0,0125;0,048225;26,7293;13,6549;9,47785;0,098385;2,0443;0,87159;0,048125;1,229;0,01955;0,04967;63,373;57,633;3,0667;3,7427;6,0299;-0,015861;-0,007759;3,9931;0,12841;0,073232;1,7889;1,7889;0,048125;0,11311;0,95201;0;63,592;6,3332;23,7897;15,343;4,1958;NB;U
0;0,63653;-0,077059;0,81392;-37,334;-0,1301;-0,12801;0,57103;1,6511;0,36347;-0,096498;-0,277309;-0,038845;-0,12801;-3415,915;-0,10076;1,571;-0,12801;-0,078797;21,099;-0,081914;0;-0,021605;0,32114;0,10363;-0,11624;0,37677;-0,061688;85,933;4,2475;2,7633;-0,081914;1,6511;0,46083;-0,065301;0,042256;-0,204356;-0,058444;70,642;49,543;0;0,58344;19,805;-0,16246;-0,098395;0,52952;0,41411;0,23543;0,54827;0,69513;-0,065301;0;1,0777;0,26786;17,3;7,3673;91,545;3,9871;2,4906;NB;U
0,1533;0,091417;0,4825;7,3;126,05;0;0,1533;9,614475;1,1958;0,891444;0,15359;2,0016;0,14894;0,1533;156,96;2,318185;10,9394;0,1533;0,1282;25,231;0,14846;0,1282;0,27165;0,1533;2,010605;1,0943;-0,074164;0,12845;26,733;13,653;9,47785;0,15009;1,1958;0,90114;0,12552;2,7113;0,014734;0,12416;107,27;82,043;1,8546;6,081655;28,853;0,12366;0,10341;6,946005;0,076586;0,073242;2,0943;2,0943;0,12552;0,16601;0,87249;0;14,466;4,4489;23,7897;15,343;2,712;NB;U
0,049115;0,70267;-0,085215;0,83864;-47,199;0,10386;0,059004;0,42314;1,0309;0,29733;0,059004;0,11173;0,051313;0,059004;2137;0,1708;1,4231;0,059004;0,025227;31,671;0,074571;0,020999;0,12923;0,29733;0,15673;-0,15296;0,29996;0,025227;84,962;4,2961;0,10613;0,074571;2,3459;0,4719;0,031883;0,009881;0,17038;0,031883;68,743;37,072;0,24201;0,45433;32,651;0,013557;0,005796;0,63028;0,52809;0,23277;0,53369;0,84704;0,030006;0,16519;0,96999;0,58716;11,525;9,8458;82,412;4,429;4,1982;NB;U
0,047417;0,2097;0,25547;2,4975;5,7869;0;0,058955;3,7687;1,5337;0,7903;0,068385;0,34558;0,16283;0,058955;306,5;1,1909;4,7687;0,058955;0,038441;55,337;0,068241;0,030917;0,11419;0,57328;1,1358;0,44511;0,13281;0,044407;42,423;8,6037;6,9994;0,065907;1,5337;0,8294;0,042973;0,04939;0,026987;0,044495;99,393;44,056;0,20393;1,1345;57,822;-0,12253;-0,079892;2,0318;0,1706;0,11623;1,377;1,4451;0,042973;0,059999;0,96162;0,049479;6,596;8,2848;40,6;8,9901;2,6722;NB;U
0,003834;0,35315;0,30659;1,8837;-12,094;0;0,005975;1,8316;2,3302;0,64685;0,02921;0,017223;0,033583;0,005975;1647,2;0,22159;2,8316;0,005975;0,002564;52,743;0,02921;0,001645;0,054581;0,46797;0,21553;0,88489;0,11303;0,012535;55,13;6,6208;6,504;0,033286;2,3302;0,64685;0,014285;0,38737;0,11599;0,012535;81,316;28,573;0,011385;0,91317;53,507;-0,043071;-0,018484;1,8505;0,34693;0,15104;1,8669;1,8669;0,014285;0,005927;0,99745;0;6,9204;12,774;54,342;6,7167;6,7254;NB;U
